Ano: 1998;Ano: 1999;Ano: 2000;Ano: 2001;Ano: 2002;Ano: 2003;Ano: 2004;Ano: 2005;Ano: 2006;Ano: 2007;Ano: 2008;Ano: 2009;Ano: 2010;Ano: 2011;Ano: 2012;Ano: 2013;Ano: 2014;Ano: 2015;Ano: 2016;Ano: 2017
730;333;434;828;3491;6859;3160;9427;3589;3291;2808;2095;4684;1912;3180;3242;3829;5512;6993;7042
730;333;434;828;3491;6859;3160;9427;3589;3291;2808;2095;4684;1912;3180;3242;3829;5512;6993;7042
